,Date,Temp,Humidity,WindSpeed,Precip
1,7/1/16,78,65,8,0
2,7/2/16,72,51,10,0
3,7/3/16,71,62,6,0
4,7/4/16,76,67,5,0
5,7/5/16,82,71,8,0
6,7/6/16,82,75,10,0
7,7/7/16,66,72,12,0
8,7/8/16,72,63,8,0
9,7/9/16,72,64,10,0
10,7/10/16,73,67,11,0
11,7/11/16,75,75,12,0
12,7/12/16,76,78,12,0
13,7/13/16,74,89,7,0
14,7/14/16,77,78,8,0
15,7/15/16,74,72,7,0
16,7/16/16,71,71,8,0
17,7/17/16,68,82,6,0
18,7/18/16,75,84,7,0
19,7/19/16,78,71,7,0
20,7/20/16,76,76,6,0
21,7/21/16,76,85,8,0
22,7/22/16,74,80,7,0
23,7/23/16,75,92,9,0
24,7/24/16,74,66,10,0
25,7/25/16,74,58,8,0
26,7/26/16,74,69,12,0
27,7/27/16,76,88,9,0
28,7/28/16,81,75,9,0
29,7/29/16,80,65,8,0
30,7/30/16,76,82,9,0
31,7/31/16,82,72,11,0
32,8/1/16,72,92,9,0
33,8/2/16,73,84,11,0
34,8/3/16,70,94,6,0
35,8/4/16,72,84,5,0
36,8/5/16,69,87,10,0
37,8/6/16,68,75,12,0
38,8/7/16,68,57,10,0
39,8/8/16,68,62,7,0
40,8/9/16,72,64,6,0
41,8/10/16,70,65,7,0
42,8/11/16,70,76,9,0
43,8/12/16,72,92,15,0
44,8/13/16,75,81,9,0
45,8/14/16,74,60,10,0
46,8/15/16,76,57,9,0
47,8/16/16,75,61,6,0
48,8/17/16,72,78,9,0
49,8/18/16,68,77,9,0
50,8/19/16,74,80,10,0
51,8/20/16,70,93,10,0
52,8/21/16,72,77,8,0
53,8/22/16,70,86,7,0
54,8/23/16,71,85,3,0
55,8/24/16,72,87,7,0
56,8/25/16,82,76,11,0
57,8/26/16,87,65,6,0
58,8/27/16,88,54,8,0
59,8/28/16,87,67,4,0
60,8/29/16,87,59,12,0
61,8/30/16,81,55,9,0
