0 of 2 Session | Episode: 0 | Final Stock: -27 |Final Reward: 0.00 
0 of 2 Session | Episode: 1 | Final Stock: -7 |Final Reward: 0.00 
0 of 2 Session | Episode: 2 | Final Stock: -31 |Final Reward: 0.00 
0 of 2 Session | Episode: 3 | Final Stock: 19 |Final Reward: 0.00 
0 of 2 Session | Episode: 4 | Final Stock: 1 |Final Reward: 0.00 
0 of 2 Session | Episode: 5 | Final Stock: -25 |Final Reward: 0.00 
0 of 2 Session | Episode: 6 | Final Stock: -4 |Final Reward: 0.00 
0 of 2 Session | Episode: 7 | Final Stock: -33 |Final Reward: 0.00 
0 of 2 Session | Episode: 8 | Final Stock: -12 |Final Reward: 0.00 
0 of 2 Session | Episode: 9 | Final Stock: -10 |Final Reward: 0.00 
0 of 2 Session | Episode: 10 | Final Stock: 17 |Final Reward: 0.00 
0 of 2 Session | Episode: 11 | Final Stock: -25 |Final Reward: 0.00 
0 of 2 Session | Episode: 12 | Final Stock: 22 |Final Reward: 0.00 
0 of 2 Session | Episode: 13 | Final Stock: 13 |Final Reward: 0.00 
0 of 2 Session | Episode: 14 | Final Stock: -21 |Final Reward: 0.00 
0 of 2 Session | Episode: 15 | Final Stock: 15 |Final Reward: 0.00 
0 of 2 Session | Episode: 16 | Final Stock: -8 |Final Reward: 0.00 
0 of 2 Session | Episode: 17 | Final Stock: 15 |Final Reward: 0.00 
0 of 2 Session | Episode: 18 | Final Stock: -9 |Final Reward: 0.00 
0 of 2 Session | Episode: 19 | Final Stock: -12 |Final Reward: 0.00 
0 of 2 Session | Episode: 20 | Final Stock: 4 |Final Reward: 0.00 
0 of 2 Session | Episode: 21 | Final Stock: 14 |Final Reward: 0.00 
0 of 2 Session | Episode: 22 | Final Stock: -21 |Final Reward: 0.00 
0 of 2 Session | Episode: 23 | Final Stock: 2 |Final Reward: 0.00 
0 of 2 Session | Episode: 24 | Final Stock: -19 |Final Reward: 0.00 
0 of 2 Session | Episode: 25 | Final Stock: -14 |Final Reward: 0.00 
